Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,World,WLD,31.74926218,31.0354851,34.88824463,36.06134674,34.95234877,34.33730302,33.30793007,33.03894423,33.18157321,32.6732422,32.37663449,31.5689563,31.07080871,30.44963575,29.6058653,28.98267745,28.14785139,27.82243409,27.55209918,27.41336404,27.42145294,27.89178899,28.09187402,27.4871068,27.22151043,27.25377864,27.33207123,27.27549015,26.79045982,26.27383124,25.87870079,25.21133245,24.5785773,24.18120437,23.80487594,23.36945847,23.08123956,22.75077752,22.33767708,21.91168366,21.65153881,21.30638215,21.05303934,20.83904676,20.68541562,20.55193051,20.39775655,20.30710105,20.19625896,19.96785143,19.77870117,19.85467053,19.95405818,19.45244784,19.46419186,18.95222527,19.07089368,18.66507083,18.14841057,17.87777205,17.33359879,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,World,WLD,52.58191554,53.07510476,53.49241958,54.01751432,54.68750424,55.34690709,56.07845296,56.78374489,57.38624352,57.99196944,58.57972779,59.11042918,59.59647745,60.04729519,60.54063378,60.98542687,61.40877459,61.83263619,62.19339443,62.55544335,62.84171583,63.18251338,63.50897634,63.75712531,64.02169499,64.27925034,64.5796742,64.83077174,65.03475296,65.24704931,65.43323283,65.61838085,65.77001658,65.8844036,66.08777234,66.27421726,66.55851752,66.84339002,67.08649921,67.29332375,67.54896003,67.8217449,68.07014019,68.32601818,68.6525098,68.92021195,69.26229064,69.5915489,69.89951482,70.24645381,70.55669028,70.88401703,71.17329899,71.46586441,71.74605473,71.95211472,72.18623,72.39169867,72.57441451,72.76322287,72.74791908,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,World,WLD,4.979299498,5.003564277,5.025367418,5.045550595,5.056470116,5.040687076,4.992084743,4.97327569,4.922089469,4.855976292,4.778572494,4.669268331,4.53970361,4.410469926,4.288770812,4.15688867,4.040382918,3.936737207,3.843072253,3.77341512,3.713652391,3.656614012,3.627155101,3.5945681,3.564195128,3.535984167,3.499524247,3.455160571,3.398938314,3.324495298,3.248547126,3.157520604,3.071547794,2.987501805,2.921954514,2.86273131,2.8171996,2.777375667,2.746515617,2.716987541,2.696277399,2.666498391,2.643596129,2.624969058,2.60874732,2.588162928,2.577263136,2.567086656,2.554986219,2.534291657,2.516385241,2.498637564,2.488923693,2.472313637,2.464809125,2.455432254,2.444848504,2.427294765,2.414921775,2.401720116,2.387122928,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,World,WLD,17.7121036,15.00142452,13.95444615,13.73753883,13.7924642,13.20725289,12.86478236,12.60176614,12.45959603,12.26791613,11.99378636,11.75701994,11.66237864,11.41765388,11.30875212,11.1636617,11.00470407,10.73758481,10.48386671,10.3137621,10.27243523,10.11214064,10.02440088,10.0200234,9.893684777,9.780906267,9.637625759,9.502700701,9.397780453,9.270622115,9.225636968,9.161904286,9.077961838,9.098918114,9.009085825,8.954210255,8.846200828,8.742632427,8.660651569,8.622322546,8.549268999,8.472831398,8.434568514,8.380358928,8.241246288,8.217171832,8.141339886,8.074258616,8.024486493,7.911957054,7.848529547,7.767390559,7.713559109,7.648126181,7.587841344,7.584814166,7.53470113,7.531660108,7.526761224,7.502690109,7.705860684,..
"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,World,WLD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,64.8,64,63.1,62.2,61.4,60.1,58.9,57.5,56,54.5,52.8,51.1,49.3,47.6,45.9,44.2,42.6,41,39.6,38.1,36.9,35.5,34.4,33.3,32.3,31.4,30.6,29.7,28.9,28.1,27.4,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,World,WLD,1.08805E+13,1.1293E+13,1.18933E+13,1.251E+13,1.33305E+13,1.40702E+13,1.4874E+13,1.54922E+13,1.64126E+13,1.73671E+13,1.80494E+13,1.88209E+13,1.98785E+13,2.1152E+13,2.15314E+13,2.16684E+13,2.28175E+13,2.37528E+13,2.47355E+13,2.57681E+13,2.62518E+13,2.67594E+13,2.6865E+13,2.75769E+13,2.88663E+13,2.99342E+13,3.09651E+13,3.21205E+13,3.3611E+13,3.48726E+13,3.58728E+13,3.63966E+13,3.71501E+13,3.78218E+13,3.90724E+13,4.02801E+13,4.17385E+13,4.33683E+13,4.45801E+13,4.61508E+13,4.82217E+13,4.91846E+13,5.03301E+13,5.19159E+13,5.42488E+13,5.64421E+13,5.89686E+13,6.16089E+13,6.2882E+13,6.20482E+13,6.48604E+13,6.70145E+13,6.88287E+13,7.07695E+13,7.29322E+13,7.51793E+13,7.72835E+13,7.98952E+13,8.25131E+13,8.46707E+13,8.1901E+13,8.66529E+13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 07/20/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
